POCO;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INÍCIO;TÉRMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
1-BRSA-1257-MA;50090027727;Petrobras;1FZC1MA;MA;Parnaíba;PN-T-66;;;T;S;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;11/08/2014;11/09/2014;16/09/2014;Público;"	-04:32:59,587";"	-45:14:08,548";-4,549885278;-45,23570778;SIRGAS2000;Definitiva;Vertical;-2121;2210;2210;MR;74,2;65,2;0;NM;;Canindé;Poti;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;;;SC-109;SONDA CONVENCIONAL 109;I;14/09/2025
1-BRSA-1260-ES;34270027730;Petrobras;1UVA1ES;ES;Espírito Santo;ES-T-486;;;T;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ARRASADO;22/08/2014;02/09/2014;05/09/2014;Público;"	-19:14:14,215";"	-39:51:59,310";-19,23728194;-39,866475;SIRGAS2000;Definitiva;Vertical;-1272,7;1282;1282;MR;9,3;4,3;0;NM;;;Embasamento;;Existe;;Existe;Existe;Existe;;;;;;;;Existe;;;;;;GREAT127 (OIL 127/TUS 127);GREAT - 127;I;14/09/2025
1-BRSA-1264-ES;34270027755;Petrobras;1JAP1ES;ES;Espírito Santo;ES-T-495;;;T;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;07/09/2014;16/09/2014;21/09/2014;Público;"	-19:19:07,408";"	-39:54:13,993";-19,31872444;-39,90388694;SIRGAS2000;Definitiva;Vertical;-1187,6;1196;1199;MR;11,4;6,4;0;NM;;;Embasamento;;Existe;;Existe;Existe;Existe;;;;;Existe;;;Existe;;Existe;;;;GREAT127 (OIL 127/TUS 127);GREAT - 127;I;14/09/2025
1-BRSA-1268-ES;34270027791;Petrobras;1GRA1ES;ES;Espírito Santo;ES-T-486;;;T;S;1;Pioneiro;SECO COM INDÍCIOS DE PETRÓLEO;ARRASADO;24/09/2014;09/10/2014;12/10/2014;Público;"	-19:14:03,944";"	-39:51:30,415";-19,23442889;-39,85844861;SIRGAS2000;Definitiva;Vertical;-1325,3;1330;1334,2;MR;8,9;3,9;0;NM;;;Embasamento;;Existe;;Existe;Existe;Existe;;;;;Existe;;;Existe;;Existe;;;;GREAT127 (OIL 127/TUS 127);GREAT - 127;I;14/09/2025
1-BRSA-1269-AM;14030027801;Petrobras;1RJP1AM;AM;Amazonas;AM-T-85;;;T;S;1;Pioneiro;SECO COM INDÍCIOS GÁS NATURAL;ARRASADO;25/09/2014;19/11/2014;04/12/2014;Público;"	-02:42:34,856";"	-58:04:30,461";-2,709682222;-58,07512806;SIRGAS2000;Definitiva;Vertical;-2428,1;2466;2466,7;MR;38,6;32,2;0;NM;;Urupadi;Ererê;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;;Existe;;;;;SM-14 (QG-03);QUEIROZ GALVÃO 03 (QG-03);I;14/09/2025
1-BRSA-127-RJS;74316019796;Petrobras;1RJS578;RJ;Santos;BS-500;;;M;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;24/01/2002;08/02/2002;10/02/2002;Público;"	-24:41:39,666";"	-42:54:31,319";-24,69435167;-42,90869972;SIRGAS2000;Definitiva;Vertical;;3898;;MR;18;0;1831;NM;;;;;Existe;Existe;Existe;;;Existe;Existe;;;;;;Existe;;;;;Existe;NS-21;OCEAN CLIPPER;N;14/09/2025
1-BRSA-1270D-RN;72100027812;Petrobras;1SLU1DRN;RN;Potiguar;POT-T-613;;;T;S;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;06/10/2014;23/10/2014;28/10/2014;Público;"	-05:20:15,945";"	-36:56:48,434";-5,3377625;-36,94678722;SIRGAS2000;Definitiva;Direcional;-1778;1911;1879;MR;53,3;43,7;0;NM;;Areia Branca;Pendência;;Existe;;Existe;Existe;Existe;;;;;;;;Existe;;;;;;SC-106;SONDA CONVENCIONAL 106;I;14/09/2025
1-BRSA-1285-AM;14030027911;Petrobras;1SSB1AM;AM;Amazonas;AM-T-62;;;T;S;1;Pioneiro;PORTADOR DE GÁS NATURAL;ARRASADO;26/11/2014;13/02/2015;02/03/2015;Público;"	-02:28:19,805";"	-57:56:38,883";-2,472168056;-57,94413417;SIRGAS2000;Definitiva;Vertical;2249,7;2300;2299,1;MR;49,4;44,9;0;NM;;Curuá;Oriximiná;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;;Existe;;;;;SM-15 (QG-04);QUEIROZ GALVÃO 04 (QG-04);I;14/09/2025
1-BRSA-1289-RJS;74281027956;BP Energy;1RJS737;RJ;Campos;C-M-535;;;M;S;1;Pioneiro;DESCOBRIDOR DE NOVA JAZIDA PETRÓLEO;ABANDONADO PERMANENTEMENTE;28/12/2014;18/01/2015;08/02/2015;Público;"	-23:16:14,598";"	-40:35:47,143";-23,27072167;-40,59642861;SIRGAS2000;Definitiva;Vertical;-3754;3788;3787;MR;33;0;2215;NM;;Campos;Ubatuba;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;;;SS-74;Sevan Driller;N;14/09/2025
1-BRSA-129-RJS;74281019800;Petrobras;1RJS572;RJ;Campos;BC-600;;;M;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;26/01/2002;07/03/2002;09/03/2002;Público;"	-22:03:40,066";"	-39:26:42,279";-22,06112944;-39,4450775;SIRGAS2000;Definitiva;Vertical;;4628;;MR;14;0;2288;NM;;;;;Existe;Existe;Existe;;Existe;Existe;Existe;;;;Existe;;Existe;;;;;Existe;NS-20;DEEPWATER EXPEDITION;N;14/09/2025
